"","date","L004_MICROCYSTIN YR_ug/L","days"
"1",2020-05-05,NA,5
"2",2020-05-20,NA,20
"3",2020-06-02,NA,33
"4",2020-06-23,0.71,54
"5",2020-07-07,NA,68
"6",2020-07-21,NA,82
"7",2020-08-04,NA,96
"8",2020-08-25,NA,117
"9",2020-09-08,NA,131
"10",2020-09-23,NA,146
"11",2020-10-06,NA,159
"12",2020-10-21,NA,174
"13",2021-05-04,NA,369
"14",2021-05-18,NA,383
"15",2021-06-08,NA,404
"16",2021-06-22,NA,418
"17",2021-07-08,NA,434
"18",2021-07-20,NA,446
"19",2021-08-03,NA,460
"20",2021-08-24,NA,481
"21",2021-09-08,NA,496
"22",2021-09-21,NA,509
"23",2021-10-05,NA,523
"24",2021-10-19,NA,537
"25",2022-05-03,NA,733
"26",2022-05-18,NA,748
"27",2022-06-07,NA,768
"28",2022-06-21,NA,782
"29",2022-07-06,NA,797
"30",2022-07-19,NA,810
"31",2022-08-02,NA,824
"32",2022-08-16,NA,838
"33",2022-09-06,NA,859
"34",2022-09-20,NA,873
"35",2022-10-04,NA,887
"36",2022-10-18,NA,901
"37",2023-05-02,NA,1097
