"","date","L006_TOTAL NITROGEN_mg/L","days"
"1",2014-06-03,1.73,3
"2",2014-07-16,1.19,46
"3",2014-08-06,1.05,67
"4",2014-09-03,0.85,95
"5",2014-10-08,1.02,130
"6",2014-11-05,0.94,158
"7",2014-12-03,1.37,186
"8",2015-01-07,1.79,221
"9",2015-02-04,1.55,249
"10",2015-03-04,1.24,277
"11",2015-04-08,1.22,312
"12",2015-05-13,1.19,347
"13",2015-06-02,1.05,367
"14",2015-07-08,0.983,403
"15",2015-08-04,1.11,430
"16",2015-09-02,1.03,459
"17",2015-10-07,1.21,494
"18",2015-11-03,1.15,521
"19",2015-12-02,1.27,550
"20",2016-01-12,1.65,591
"21",2016-02-03,1.11,613
"22",2016-03-02,1.18,641
"23",2016-04-06,2.4,676
"24",2016-05-09,1.45,709
"25",2016-06-15,2.75,746
"26",2016-07-12,0.94,773
"27",2016-08-03,0.914,795
"28",2016-09-07,1.18,830
"29",2016-10-19,1.27,872
"30",2016-11-02,1.38,886
"31",2016-12-06,1.54,920
"32",2017-01-10,1.85,955
"33",2017-02-08,1.48,984
"34",2017-03-21,1.46,1025
"35",2017-04-18,1.39,1053
"36",2017-05-23,1.39,1088
"37",2017-06-20,1.36,1116
"38",2017-07-11,1.11,1137
"39",2017-08-16,0.889,1173
"40",2017-09-19,1.6,1207
"41",2017-10-09,1.53,1227
"42",2017-11-08,2.02,1257
"43",2017-12-06,1.73,1285
"44",2018-01-18,3.64,1328
"45",2018-02-07,1.93,1348
"46",2018-03-07,1.06,1376
"47",2018-04-04,1.48,1404
"48",2018-05-02,1.88,1432
"49",2018-06-06,1.33,1467
"50",2018-07-18,1.13,1509
"51",2018-08-15,0.889,1537
"52",2018-09-05,0.845,1558
"53",2018-10-17,0.946,1600
"54",2018-11-07,1.01,1621
"55",2018-12-11,1.65,1655
"56",2019-01-09,1.61,1684
"57",2019-02-14,2.39,1720
"58",2019-04-03,2.26,1768
"59",2019-05-07,1.26,1802
"60",2019-06-04,1.05,1830
"61",2019-07-10,1.14,1866
"62",2019-08-07,0.937,1894
"63",2019-09-10,1.29,1928
"64",2019-10-02,1.85,1950
"65",2019-11-06,1.55,1985
"66",2019-12-04,1.22,2013
"67",2020-01-15,1.32,2055
"68",2020-02-05,1.26,2076
"69",2020-03-11,1.44,2111
"70",2020-04-08,1.57,2139
"71",2020-05-06,1.38,2167
"72",2020-05-21,1.22,2182
"73",2020-06-03,1.36,2195
"74",2020-06-24,0.898,2216
"75",2020-07-08,0.918,2230
"76",2020-07-22,1.09,2244
"77",2020-08-05,1.08,2258
"78",2020-08-26,1.28,2279
"79",2020-09-09,0.931,2293
"80",2020-09-24,1.19,2308
"81",2020-10-07,1.26,2321
"82",2020-10-22,1.84,2336
"83",2020-11-18,1.98,2363
"84",2020-12-16,1.2,2391
"85",2021-01-06,1.64,2412
"86",2021-02-10,1.26,2447
"87",2021-03-11,1.64,2476
"88",2021-04-07,1.34,2503
"89",2021-05-05,1.18,2531
"90",2021-05-19,0.883,2545
"91",2021-06-09,1.2,2566
"92",2021-06-23,1.23,2580
"93",2021-07-07,1.11,2594
"94",2021-07-21,0.912,2608
"95",2021-08-04,0.953,2622
"96",2021-08-25,1.42,2643
"97",2021-09-09,0.659,2658
"98",2021-09-22,0.997,2671
"99",2021-10-06,0.867,2685
"100",2021-10-20,1.02,2699
"101",2021-11-03,0.985,2713
"102",2021-12-08,1.16,2748
"103",2022-01-05,1.27,2776
"104",2022-02-09,0.971,2811
"105",2022-03-09,1.26,2839
"106",2022-04-06,1.41,2867
"107",2022-05-04,1.35,2895
"108",2022-05-17,1.36,2908
"109",2022-06-08,1.24,2930
"110",2022-06-22,1.43,2944
"111",2022-07-07,0.975,2959
"112",2022-07-20,1.03,2972
"113",2022-08-17,0.961,3000
"114",2022-09-07,0.938,3021
"115",2022-09-21,1.18,3035
"116",2022-10-05,1.88,3049
"117",2022-10-19,2.3,3063
"118",2022-11-16,1.57,3091
"119",2022-12-07,1.06,3112
"120",2023-01-11,1.13,3147
"121",2023-02-08,1.87,3175
"122",2023-03-08,1.6,3203
"123",2023-04-05,1.06,3231
"124",2023-05-03,1.93,3259
