"","date","S127_TOTAL NITROGEN_mg/L","days"
"1",2017-05-08,1.84,8
"2",2017-06-05,1.79,36
"3",2017-06-19,1.72,50
"4",2017-07-05,1.45,66
"5",2017-08-01,1.79,93
"6",2017-08-14,1.71,106
"7",2017-08-28,1.9,120
"8",2017-09-13,1.43,136
"9",2017-09-25,1.88,148
"10",2017-10-09,2.52,162
"11",2017-10-23,2.92,176
"12",2017-11-20,1.98,204
"13",2017-12-18,2.34,232
"14",2018-01-02,2.05,247
"15",2018-01-16,2.13,261
"16",2018-01-29,1.84,274
"17",2018-02-12,1.78,288
"18",2018-03-12,1.81,316
"19",2018-04-09,1.95,344
"20",2018-04-23,2.17,358
"21",2018-05-07,1.8,372
"22",2018-05-21,1.61,386
"23",2018-06-04,1.71,400
"24",2018-06-18,1.79,414
"25",2018-07-02,1.78,428
"26",2018-07-16,1.74,442
"27",2018-07-30,1.83,456
"28",2018-08-13,2.04,470
"29",2018-08-27,2,484
"30",2018-09-10,2.1,498
"31",2018-09-24,1.92,512
"32",2018-10-08,1.93,526
"33",2018-10-22,1.96,540
"34",2018-11-19,1.81,568
"35",2018-12-17,1.81,596
"36",2019-01-14,1.71,624
"37",2019-01-28,1.69,638
"38",2019-02-11,1.73,652
"39",2019-02-25,1.59,666
"40",2019-03-11,1.68,680
"41",2019-04-08,1.71,708
"42",2019-05-06,1.66,736
"43",2019-06-03,1.64,764
"44",2019-07-01,1.75,792
"45",2019-07-15,1.52,806
"46",2019-07-29,1.55,820
"47",2019-08-12,1.8,834
"48",2019-08-26,2.72,848
"49",2019-09-09,2.53,862
"50",2019-09-23,2.71,876
"51",2019-10-08,2.68,891
"52",2019-10-21,2.54,904
"53",2019-11-04,2.32,918
"54",2019-11-18,2.35,932
"55",2019-12-16,2.29,960
"56",2020-01-13,2.12,988
"57",2020-02-10,2,1016
"58",2020-02-24,1.84,1030
"59",2020-03-09,1.85,1044
"60",2020-03-23,1.98,1058
"61",2020-04-06,2.09,1072
"62",2020-04-20,2.09,1086
"63",2020-05-04,2.11,1100
"64",2020-06-01,1.91,1128
"65",2020-06-15,1.81,1142
"66",2020-06-29,1.93,1156
"67",2020-07-13,1.89,1170
"68",2020-07-27,1.99,1184
"69",2020-08-10,1.76,1198
"70",2020-08-24,1.73,1212
"71",2020-09-08,1.78,1227
"72",2020-09-21,1.87,1240
"73",2020-10-05,2,1254
"74",2020-10-19,2,1268
"75",2020-11-02,2.07,1282
"76",2020-11-16,2.15,1296
"77",2020-11-30,2.33,1310
"78",2020-12-14,2.16,1324
"79",2020-12-28,2.15,1338
"80",2021-01-11,2.29,1352
"81",2021-02-08,2.01,1380
"82",2021-02-22,1.93,1394
"83",2021-03-08,1.95,1408
"84",2021-04-05,1.94,1436
"85",2021-04-19,1.89,1450
"86",2021-05-03,1.94,1464
"87",2021-06-01,2.09,1493
"88",2021-06-28,1.78,1520
"89",2021-07-12,1.8,1534
"90",2021-07-26,1.74,1548
"91",2021-08-09,1.95,1562
"92",2021-08-23,2.43,1576
"93",2021-09-07,2.18,1591
"94",2021-09-20,2.19,1604
"95",2021-10-04,2.06,1618
"96",2021-10-18,2.2,1632
"97",2021-11-01,2.12,1646
"98",2021-11-15,2.18,1660
"99",2021-11-29,2.04,1674
"100",2021-12-13,1.92,1688
"101",2021-12-27,1.9,1702
"102",2022-01-10,1.85,1716
"103",2022-01-24,1.76,1730
"104",2022-02-07,1.72,1744
"105",2022-03-07,1.76,1772
"106",2022-03-21,1.69,1786
"107",2022-04-04,1.88,1800
"108",2022-04-18,1.77,1814
"109",2022-05-02,1.93,1828
"110",2022-05-31,1.91,1857
"111",2022-06-27,1.72,1884
"112",2022-07-25,1.75,1912
"113",2022-08-22,1.69,1940
"114",2022-09-19,1.7,1968
"115",2022-10-03,1.73,1982
"116",2022-10-17,1.65,1996
"117",2022-10-31,1.67,2010
"118",2022-11-14,1.67,2024
"119",2022-11-28,1.84,2038
"120",2022-12-12,1.6,2052
"121",2022-12-27,1.75,2067
"122",2023-01-09,1.54,2080
"123",2023-01-23,1.77,2094
"124",2023-02-06,1.65,2108
"125",2023-03-06,1.61,2136
"126",2023-03-20,1.76,2150
"127",2023-04-03,1.68,2164
"128",2023-04-17,1.74,2178
"129",2023-05-01,1.82,2192
